0.012s
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_9x8, wall time: 0.020109s, L3 cache miss ratio: 13977528728933500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_9x9, wall time: 0.022866s, L3 cache miss ratio: 14030191271269500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_9x10, wall time: 0.021359s, L3 cache miss ratio: 14051207406949500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_9x11, wall time: 0.021655s, L3 cache miss ratio: 14071490189464700.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_9x12, wall time: 0.025828s, L3 cache miss ratio: 13992843842917500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_10x1, wall time: 0.013007s, L3 cache miss ratio: 14016138773861500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_10x2, wall time: 0.015526s, L3 cache miss ratio: 14005866120139900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_10x3, wall time: 0.016222s, L3 cache miss ratio: 14031289906123900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_10x4, wall time: 0.017030s, L3 cache miss ratio: 13998057683096700.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_10x5, wall time: 0.017168s, L3 cache miss ratio: 13963903633151100.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_10x6, wall time: 0.018545s, L3 cache miss ratio: 13973008371864700.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_10x7, wall time: 0.023084s, L3 cache miss ratio: 13995217763685500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_10x8, wall time: 0.019721s, L3 cache miss ratio: 13990098091365500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_10x9, wall time: 0.020102s, L3 cache miss ratio: 14007638588363900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_10x10, wall time: 0.022952s, L3 cache miss ratio: 14067210804581500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_10x11, wall time: 0.021180s, L3 cache miss ratio: 14011531662283900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_10x12, wall time: 0.023581s, L3 cache miss ratio: 14048084676760700.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_11x1, wall time: 0.017122s, L3 cache miss ratio: 13973539949106300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_11x2, wall time: 0.019055s, L3 cache miss ratio: 13978823135794300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_11x3, wall time: 0.019771s, L3 cache miss ratio: 14025433757029500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_11x4, wall time: 0.021495s, L3 cache miss ratio: 13997493594674300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_11x5, wall time: 0.021341s, L3 cache miss ratio: 14040448222155900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_11x6, wall time: 0.022516s, L3 cache miss ratio: 14058785027839100.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_11x7, wall time: 0.022521s, L3 cache miss ratio: 14039146562917500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_11x8, wall time: 0.022945s, L3 cache miss ratio: 14011393490277500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_11x9, wall time: 0.026113s, L3 cache miss ratio: 13987064198911100.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_11x10, wall time: 0.026312s, L3 cache miss ratio: 14038698490418300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_11x11, wall time: 0.024328s, L3 cache miss ratio: 13991659608626300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_11x12, wall time: 0.029064s, L3 cache miss ratio: 14031933580645500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_12x1, wall time: 0.020297s, L3 cache miss ratio: 13978783773643900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_12x2, wall time: 0.019571s, L3 cache miss ratio: 14031911703090300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_12x3, wall time: 0.025424s, L3 cache miss ratio: 13997059036107900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_12x4, wall time: 0.021873s, L3 cache miss ratio: 14056312800203900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_12x5, wall time: 0.028523s, L3 cache miss ratio: 14016469568050300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_12x6, wall time: 0.023015s, L3 cache miss ratio: 14051285696664700.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_12x7, wall time: 0.028209s, L3 cache miss ratio: 14036007311922300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_12x8, wall time: 0.027376s, L3 cache miss ratio: 13995583355851900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_12x9, wall time: 0.025983s, L3 cache miss ratio: 13964434354738300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_12x10, wall time: 0.029281s, L3 cache miss ratio: 13993503747839100.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_12x11, wall time: 0.030480s, L3 cache miss ratio: 14000217880319100.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_12x12, wall time: 0.025900s, L3 cache miss ratio: 14038484924568700.000%, FLOPS:4361373.000000
